时间戳,设备ID,设备名称,AccX(g),AccY(g),AccZ(g),GyroX(°/s),GyroY(°/s),GyroZ(°/s),Roll(°),Pitch(°),Yaw(°)
2025-05-27 02:44:20.050000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.100000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.150000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.200000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.250000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.300000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.350000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.400000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.450000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.500000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.550000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.600000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.650000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.700000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.750000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.800000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0283,0.0,-0.12,0.0,-0.04,-0.23,79.55
2025-05-27 02:44:20.850000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0278,-0.06,-0.18,0.0,-0.04,-0.23,79.54
2025-05-27 02:44:20.900000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.54
2025-05-27 02:44:20.950000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,-0.0005,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.52
2025-05-27 02:44:21+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,-0.0005,1.0283,0.0,-0.12,0.06,-0.04,-0.23,79.52
2025-05-27 02:44:21.050000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,-0.0005,1.0278,0.0,-0.12,0.0,-0.04,-0.23,79.51
2025-05-27 02:44:21.100000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,0.0,-0.06,0.0,-0.04,-0.23,79.51
2025-05-27 02:44:21.150000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0044,-0.0005,1.0273,0.0,-0.06,0.0,-0.04,-0.23,79.5
2025-05-27 02:44:21.200000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,0.0,-0.12,0.0,-0.04,-0.23,79.5
2025-05-27 02:44:21.250000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0034,0.0,1.0283,0.0,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.300000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0044,-0.0005,1.0283,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.350000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.400000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.450000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.500000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.550000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.600000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.650000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.700000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.750000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.800000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.850000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.900000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
2025-05-27 02:44:21.950000+00:00,qWRWttfDve4AEPeePRvRbQ==,WTL1,0.0039,0.0,1.0278,-0.06,-0.12,0.0,-0.04,-0.23,79.49
